Event Title,Underdog,Favorite,Winner,height_delta,reach_delta,SLPM_delta,Str Acc_delta,SApm_delta,Str. Def_delta,TD Avg_delta,TD Acc_delta,TD Def_delta,Sub Avg_delta,age_delta,Odds_Delta
UFC 159 - Jones vs. Sonnen,Chael Sonnen,Jon Jones,Favorite,3,11,1.21,0.14,1.12,0.02,-1.88,-0.14,0.29,0.1,-11,-7.87
UFC 159 - Jones vs. Sonnen,Alan Belcher,Michael Bisping,Favorite,-1,0,1.63,-0.03,-0.39,0.06,0.61,0.17,0.08,-0.6,5,-2.93
UFC 159 - Jones vs. Sonnen,Cheick Kongo,Roy Nelson,Favorite,-4,-9,-1.15,-0.2,3.51,-0.08,-1.16,-0.29,0.13,-0.1,-2,-1.77
UFC 159 - Jones vs. Sonnen,Vinny Magalhaes,Phil Davis,Favorite,-1,4,0.71,0.1,-2.64,0.04,1.44,-0.06,0.06,-0.2,0,-2.19
UFC 159 - Jones vs. Sonnen,Pat Healy,Jim Miller,Underdog,4,1,-0.42,-0.06,-0.93,-0.06,1.55,-0.07,0.08,-0.6,0,2
UFC 159 - Jones vs. Sonnen,Yancy Medeiros,Rustam Khabilov,Favorite,-2,-2,-2.38,-0.03,-3.51,0.18,3.62,-0.09,-0.12,-0.6,1,-1.86
UFC 159 - Jones vs. Sonnen,Gian Villante,Ovince St Preux,Favorite,0,4,-1.35,0.03,-2.15,-0.08,0.65,0.13,-0.16,0.5,3,-0.71
UFC 159 - Jones vs. Sonnen,Sheila Gaff,Sara McMann,Favorite,1,2,0.66,-0.04,-0.97,0.19,4.38,0.65,0.3,0.5,9,-4.62
UFC 159 - Jones vs. Sonnen,Bryan Caraway,Johnny Bedford,Underdog,-2,-3,-2,-0.16,1.86,-0.09,0.74,-0.37,0.18,0.8,-2,0.24
UFC 159 - Jones vs. Sonnen,Cody McKenzie,Leonard Garcia,Underdog,2,4,-1.03,0.1,-2.29,0.15,2.2,-0.01,-0.28,2,-8,1.4
UFC 159 - Jones vs. Sonnen,Kurt Holobaugh,Steven Siler,Favorite,0,0,-1.16,-0.02,-1.11,0.06,-0.24,-0.15,0.09,0.7,0,-0.11
UFC on FX 8 - Belfort vs. Rockhold,Luke Rockhold,Vitor Belfort,Favorite,-3,-3,-2.51,-0.03,0.15,-0.03,0.32,0.31,-0.12,-0.4,8,-0.09
UFC on FX 8 - Belfort vs. Rockhold,Chris Camozzi,Ronaldo Souza,Favorite,-1,-3,-1.04,0.03,-0.13,0.06,2.3,0.2,0,0.8,7,-4.83
UFC on FX 8 - Belfort vs. Rockhold,Evan Dunham,Rafael dos Anjos,Favorite,-2,0,-1.85,0.08,-0.33,-0.01,0.13,0.02,-0.24,-0.4,-3,-1.41
UFC on FX 8 - Belfort vs. Rockhold,Joao Zeferino,Rafael Natal,Favorite,1,8,2.27,0.11,-0.12,0.09,2.05,0.29,0.27,-0.5,3,-2.34
UFC on FX 8 - Belfort vs. Rockhold,Hacran Dias,Nik Lentz,Favorite,0,-1,1.36,0.06,-0.06,-0.05,0.8,-0.07,-0.33,0.7,0,-0.11
UFC on FX 8 - Belfort vs. Rockhold,Mike Rio,Francisco Trinaldo,Favorite,-1,0,1.45,0.06,-0.32,0.07,-1.6,0.15,0.6,-0.5,3,-2.57
UFC on FX 8 - Belfort vs. Rockhold,John Cholish,Gleison Tibau,Favorite,-1,-3,-0.7,-0.18,0.22,-0.1,2.26,0.22,0.14,0.4,0,-1.93
UFC on FX 8 - Belfort vs. Rockhold,Michel Prazeres,Paulo Thiago,Favorite,5,7,-0.67,-0.08,-0.52,0.06,-2.52,-0.05,0.16,0.6,1,-1.19
UFC on FX 8 - Belfort vs. Rockhold,Iliarde Santos,Yuri Alcantara,Favorite,4,4,-0.28,0.15,-3.31,-0.08,-0.22,0.39,-0.23,0.8,0,-4.3
UFC on FX 8 - Belfort vs. Rockhold,Roger Hollett,Fabio Maldonado,Favorite,2,2,3.46,0.11,-2.16,0.19,-0.56,0.29,0.31,0.6,-1,-2.07
UFC on FX 8 - Belfort vs. Rockhold,John Lineker,Azamat Gashimov,Underdog,-3,0,4.12,0.19,-0.48,0.03,-1.13,0.33,0.67,0.6,-1,0.23
UFC on FX 8 - Belfort vs. Rockhold,Chris Cariaso,Jussier Formiga,Favorite,2,3,-1.93,-0.04,0.11,0.03,0.71,-0.04,0.3,-0.2,-3,-0.9
UFC on FX 8 - Belfort vs. Rockhold,Jeremy Larsen,Lucas Martins,Favorite,2,2,-2,-0.13,-1.61,0.03,-2.49,-0.33,0.76,0.5,-5,-2.52
UFC 160 - Velasquez vs. Bigfoot 2,Antonio Silva,Cain Velasquez,Favorite,-3,-5,3.48,0.12,-0.76,0.07,4.31,0.16,0.19,-0.4,-3,-5.59
UFC 160 - Velasquez vs. Bigfoot 2,Mark Hunt,Junior dos Santos,Favorite,6,5,1.68,0.04,0.43,0.05,-0.21,-0.05,0.17,-0.1,-10,-4
UFC 160 - Velasquez vs. Bigfoot 2,James Te Huna,Glover Teixeira,Favorite,0,1,-0.31,-0.02,1.44,-0.11,-0.64,-0.04,0.02,0.7,2,-3.42
UFC 160 - Velasquez vs. Bigfoot 2,T.J. Grant,Gray Maynard,Underdog,-1,-2,-2.03,-0.22,-0.57,0.1,1.28,0.04,0.45,0.1,5,0.91
UFC 160 - Velasquez vs. Bigfoot 2,K.J. Noons,Donald Cerrone,Favorite,3,3,0.73,0.11,0.7,-0.12,1.08,0.13,0.05,1.2,0,-2.11
UFC 160 - Velasquez vs. Bigfoot 2,Mike Pyle,Rick Story,Underdog,3,3,-1.06,0.04,0.67,-0.02,-0.73,-0.13,0.07,0.6,9,0.83
UFC 160 - Velasquez vs. Bigfoot 2,Max Holloway,Dennis Bermudez,Favorite,-5,-3,-2.75,-0.02,-1.65,0,3.64,-0.13,-0.02,0.8,5,-2.25
UFC 160 - Velasquez vs. Bigfoot 2,Robert Whittaker,Colton Smith,Underdog,0,2,2.93,0.01,1.15,0.08,-3.28,0.02,0.57,-1.4,-3,1.04
UFC 160 - Velasquez vs. Bigfoot 2,Abel Trujillo,Khabib Nurmagomedov,Favorite,2,0,1.45,0.07,-0.56,0.06,3.14,0.03,0.44,0.4,-5,-2.35
UFC 160 - Velasquez vs. Bigfoot 2,Nah-Shon Burrell,Stephen Thompson,Favorite,1,4,-0.72,-0.01,-0.42,-0.02,0.26,0.41,0.13,-0.3,7,-1.02
UFC 160 - Velasquez vs. Bigfoot 2,George Roop,Brian Bowles,Underdog,6,2,1.07,0.08,-0.51,-0.04,-0.34,-0.13,0.05,-1.3,-1,2.3
UFC 160 - Velasquez vs. Bigfoot 2,Estevan Payan,Jeremy Stephens,Favorite,-1,-1,-1.08,-0.02,-0.53,0.01,0.8,-0.62,0.05,0,-5,-1.3
UFC on Fox 8 - Johnson vs. Moraga,John Moraga,Demetrious Johnson,Favorite,-3,0,0.86,0.11,-0.89,0.11,2.73,0.33,0.21,-0.6,-3,-3.5
UFC on Fox 8 - Johnson vs. Moraga,Jake Ellenberger,Rory MacDonald,Favorite,3,5,1.28,0.03,-0.03,0.02,-0.27,0,0.02,0,-5,-1.71
UFC on Fox 8 - Johnson vs. Moraga,Bobby Voelker,Robbie Lawler,Favorite,-1,0,-0.16,0.12,-1.17,0.17,-0.39,0.14,-0.01,0,-3,-2.86
UFC on Fox 8 - Johnson vs. Moraga,Jessica Andrade,Liz Carmouche,Favorite,5,4,-3.84,0.04,-2.86,0.06,0.2,-0.04,-0.07,0,8,-4.55
UFC on Fox 8 - Johnson vs. Moraga,Michael Chiesa,Jorge Masvidal,Favorite,-2,-1,2.18,0.07,1.35,0.1,-1.95,0.09,0.12,-0.7,3,-2.15
UFC on Fox 8 - Johnson vs. Moraga,Tim Means,Danny Castillo,Favorite,-5,-4,-2.51,-0.07,-1.68,0.02,1.79,-0.02,-0.02,0,4,-1.95
UFC on Fox 8 - Johnson vs. Moraga,Mac Danzig,Melvin Guillard,Favorite,1,1,-0.43,-0.08,-1.59,0.09,0.1,0.26,0.15,-0.4,-3,-0.54
UFC on Fox 8 - Johnson vs. Moraga,Yves Edwards,Daron Cruickshank,Favorite,-1,-1,-0.03,-0.04,0.64,-0.09,1.28,-0.12,-0.09,-0.5,-9,-1.08
UFC on Fox 8 - Johnson vs. Moraga,Trevor Smith,Ed Herman,Favorite,-2,2,0.02,-0.07,0.4,-0.09,0.26,0.15,-0.01,0.3,0,-1.43
UFC on Fox 8 - Johnson vs. Moraga,Julie Kedzie,Germaine de Randamie,Favorite,4,6,-0.33,0.1,-1.18,0.19,-1.14,-0.23,-0.13,0.4,-3,-1.07
UFC on Fox 8 - Johnson vs. Moraga,Aaron Riley,Justin Salas,Favorite,0,1,-0.03,0.09,-0.82,0.07,1.25,-0.14,-0.6,-0.1,-1,-1.75
UFC on Fox 8 - Johnson vs. Moraga,Yaotzin Meza,John Albert,Underdog,1,3,-1.62,-0.08,-1.2,0.29,1.06,0.2,-0.32,-4.7,6,1.83
UFC 163 - Aldo vs. Korean Zombie,Chan Sung Jung,Jose Aldo,Favorite,0,-2,-0.3,0.05,-0.79,0.08,-0.19,0.09,0.19,-0.5,0,-6.9
UFC 163 - Aldo vs. Korean Zombie,Lyoto Machida,Phil Davis,Favorite,1,5,0.26,-0.19,-0.24,0.11,1.78,-0.27,-0.03,0.2,-6,-2.65
