,Unnamed: 0,name,height,weight,reach,STANCE,SLPM,Str Acc,SApm,Str. Def,TD Avg,TD Acc,TD Def,Sub Avg,age
0,0,Ryuichi Murata,68.0,183,69.0, Orthodox,0.84,0.36,1.89,0.5,4.74,0.5,1.0,3.2,
1,1,Tom Aaron,68.0,155,69.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
2,2,Ben Reiter,75.0,185,70.0,,1.8,0.46,1.53,0.54,7.0,0.43,0.0,0.0,36.0
3,3,Suman Mokhtarian,68.0,145,72.0, Orthodox,2.21,0.43,6.85,0.48,0.0,0.0,0.0,0.0,31.0
4,4,Augusto Sakai,75.0,265,77.0, Orthodox,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0,33.0
5,5,Amber Tackett,64.0,115,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,6,Waylon Lowe,67.0,145,65.0, Southpaw,1.88,0.55,2.4,0.53,4.47,0.55,0.83,0.3,43.0
7,7,Oleksandr Doskalchuk,66.0,125,67.0, Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
8,8,Cole Miller,73.0,145,73.0, Orthodox,3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8,40.0
9,9,Terry Martin,68.0,185,71.0, Orthodox,2.82,0.43,3.13,0.54,3.1,0.42,0.92,0.0,43.0
10,10,Micol Di Segni,63.0,115,60.0, Orthodox,7.47,0.4,5.87,0.33,0.0,0.0,0.37,0.0,36.0
11,11,Erick Wanderlei,73.0,205,70.0, Orthodox,0.63,0.41,2.66,0.4,3.8,0.66,0.0,1.9,
12,12,Renato Moicano,71.0,155,72.0, Orthodox,4.38,0.48,3.68,0.6,1.89,0.45,0.72,0.6,35.0
13,13,Claudio Mattos,66.0,185,66.0, Orthodox,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,
14,14,John Gunderson,69.0,155,69.0, Orthodox,1.04,0.27,1.71,0.58,1.67,0.33,0.11,2.0,45.0
15,15,Pedro Rizzo,73.0,241,70.0, Orthodox,1.93,0.34,3.02,0.5,0.26,0.28,0.78,0.0,50.0
16,16,Adrian Yanez,67.0,135,70.0, Orthodox,6.51,0.41,5.75,0.57,0.0,0.0,1.0,0.0,30.0
17,17,Luigi Fioravanti,68.0,170,70.0, Orthodox,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9,43.0
18,18,Kai Kara-France,64.0,125,69.0, Orthodox,4.57,0.39,3.24,0.65,0.63,0.33,0.88,0.0,31.0
19,19,Young Sam Jung,68.0,139,68.0, Orthodox,0.53,0.09,2.79,0.63,0.0,0.0,0.0,2.0,38.0
20,20,Tommy Speer,70.0,170,71.0, Orthodox,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0,39.0
21,21,Noah Thomas,69.0,135,69.0, Orthodox,0.44,0.13,4.99,0.33,0.0,0.0,0.0,1.3,43.0
22,22,Katlyn Cerminara,69.0,125,68.0, Orthodox,4.58,0.34,4.48,0.62,0.31,0.15,0.5,0.3,35.0
23,23,Hiroshi Izumi,68.0,205,68.0, Orthodox,1.95,0.37,2.65,0.66,3.35,0.7,1.0,0.5,41.0
24,24,Jeremy Jackson,70.0,170,70.0, Orthodox,0.71,0.27,2.03,0.25,1.52,0.4,0.58,0.0,41.0
25,25,Tom Murphy,74.0,227,74.0, Southpaw,2.5,0.71,0.17,0.84,7.51,0.85,0.0,2.5,49.0
26,26,Carlos Candelario,68.0,125,68.0, Southpaw,3.97,0.46,5.17,0.44,2.28,0.36,0.53,0.3,32.0
27,27,Pat Curran,69.0,145,71.0,,4.7,0.58,4.4,0.63,2.5,0.62,0.66,0.0,36.0
28,28,Song Kenan,72.0,170,71.0, Orthodox,4.36,0.46,6.38,0.5,0.34,0.5,0.61,0.0,34.0
29,29,Jeff Terry,74.0,205,74.0,,1.09,0.5,9.27,0.19,0.0,0.0,1.0,0.0,
30,30,Brandon Moreno,67.0,125,70.0, Orthodox,3.87,0.44,3.63,0.59,1.74,0.46,0.63,0.5,30.0
31,31,Daniel Barez,66.0,125,66.0, Orthodox,3.8,0.53,5.32,0.55,4.07,0.31,0.91,1.6,35.0
32,32,Edson Drago,76.0,220,74.0, Orthodox,1.16,0.4,2.39,0.36,0.0,0.0,0.55,0.0,46.0
33,33,Jose Johnson,72.0,125,71.0, Orthodox,2.8,0.6,1.73,0.55,0.62,0.5,0.36,0.6,29.0
34,34,Fedor Nikolov,, --,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,35,Dylan Potter,74.0,225,77.0, Switch,3.1,0.48,5.78,0.46,0.0,0.0,0.33,1.1,29.0
36,36,Tucker Lutz,68.0,145,72.0, Orthodox,3.74,0.46,3.25,0.44,1.99,0.44,0.69,0.2,29.0
37,37,Jimmy Crute,74.0,205,74.0, Orthodox,3.68,0.54,3.04,0.44,4.84,0.57,0.6,2.0,28.0
38,38,Paige VanZant,64.0,115,65.0, Orthodox,3.35,0.52,2.62,0.42,1.27,0.33,0.34,1.0,30.0
39,39,Tom Blackledge,72.0,205,77.0, Orthodox,2.91,0.61,2.55,0.46,0.0,0.0,0.75,0.0,
40,40,Hacran Dias,68.0,155,69.0, Orthodox,2.08,0.41,3.31,0.55,2.5,0.39,0.76,0.5,39.0
41,41,Igor Vovchanchyn,68.0,205,69.0, Orthodox,1.59,0.49,0.97,0.63,1.19,0.66,0.5,0.5,50.0
42,42,Vince Cachero,66.0,145,68.0, Orthodox,3.29,0.45,6.51,0.43,0.0,0.0,0.18,0.5,34.0
43,43,Alex Higley,70.0,145,70.0,,0.29,1.0,1.74,0.6,0.0,0.0,0.0,0.0,
44,44,Justin Wilcox,66.0,155,68.0, Orthodox,3.82,0.28,2.63,0.71,1.43,0.16,1.0,0.0,45.0
45,45,Hugo Viana,66.0,135,67.0, Orthodox,3.05,0.38,3.2,0.57,0.22,0.06,0.5,0.0,41.0
46,46,KyuSung Kim,71.0,125,69.0, Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
47,47,Pingyuan Liu,66.0,135,72.0, Orthodox,2.36,0.33,2.99,0.54,0.25,0.2,0.56,1.0,31.0
48,48,Mark Godbeer,76.0,240,77.0, Orthodox,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0,40.0
49,49,Laureano Staropoli,73.0,185,71.0, Orthodox,3.31,0.34,3.73,0.54,0.83,0.26,0.48,0.0,31.0
50,50,Baru Harn,75.0,265,76.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51,51,Joe Duffy,70.0,155,73.0, Orthodox,2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7,36.0
52,52,Branko Cikatic,73.0,215,76.0, Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
53,53,Soichi Nishida,71.0,320,71.0, Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,54,Branden Lee Hinkle,75.0,235,75.0, Orthodox,2.61,0.69,3.91,0.26,4.34,0.57,0.66,4.3,50.0
55,55,Scott Adams,72.0,225,72.0, Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,56,Martin Bravo,68.0,145,71.0, Southpaw,7.66,0.39,5.72,0.51,2.6,0.35,0.85,0.0,30.0
57,57,An Tuan Ho,66.0,125,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
58,58,Lee Kwan Bum,74.0,286,72.0, Orthodox,0.71,0.14,0.0,1.0,0.0,0.0,0.0,0.0,
59,59,William Knight,70.0,205,73.0, Orthodox,2.62,0.56,3.3,0.35,1.78,0.4,0.48,0.4,36.0
60,60,Balajin,69.0,145,72.0, Orthodox,1.4,0.33,2.73,0.5,2.0,0.2,0.66,0.0,32.0
61,61,Aliev Makhmud,66.0,195,67.0, Southpaw,1.12,0.3,2.24,0.36,2.1,0.5,0.0,0.0,54.0
62,62,Joe Warren,66.0,135,69.0, Orthodox,2.15,0.46,2.39,0.52,6.14,0.46,0.6,0.0,47.0
63,63,Sarah Payant,64.0,115,62.0,,0.29,0.16,2.06,0.3,0.0,0.0,0.0,0.0,
64,64,Turrell Galloway,63.0,145,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
65,65,Cristian Quinonez,68.0,135,70.0, Orthodox,4.19,0.4,4.55,0.55,1.37,0.37,0.84,0.0,28.0
66,66,Brendson Ribeiro,75.0,205,81.0, Orthodox,8.41,0.46,6.77,0.56,0.0,0.0,0.0,0.0,27.0
67,67,Keigo Kunihara,72.0,235,72.0, Orthodox,0.17,0.1,1.99,0.57,4.97,0.4,1.0,2.5,
68,68,Alonzo Menifield,72.0,205,76.0, Orthodox,3.92,0.57,3.57,0.49,0.67,0.33,0.75,0.3,36.0
69,69,Geza Kalman,73.0,200,70.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,70,Nam Phan,66.0,135,70.0, Orthodox,4.52,0.37,6.55,0.59,0.18,0.18,0.6,0.2,41.0
71,71,Maximo Blanco,68.0,145,71.0, Orthodox,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,40.0
72,72,Sarah D'alelio,67.0,145,67.0,,2.4,0.33,0.0,1.0,0.0,0.0,1.0,0.0,43.0
73,73,Antonio Banuelos,65.0,135,63.0, Orthodox,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,44.0
74,74,Sam Oropeza,74.0,170,73.0,,7.68,0.56,1.44,0.7,3.6,0.33,1.0,0.0,
75,75,Jared Cannonier,71.0,185,77.0, Switch,4.68,0.52,4.13,0.59,0.44,0.42,0.63,0.0,40.0
76,76,Waylon Kennell,72.0,185,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
77,77,Luis Ramos,68.0,170,67.0, Orthodox,2.4,0.35,5.6,0.42,1.5,0.2,1.0,0.0,43.0
78,78,Raphael Butler,75.0,261,77.0,,4.69,0.45,0.94,0.91,0.0,0.0,1.0,14.1,40.0
79,79,Germaine de Randamie,69.0,135,71.0, Orthodox,2.57,0.46,2.0,0.65,0.0,0.0,0.65,0.4,40.0
80,80,Michel Prazeres,66.0,170,67.0, Orthodox,2.38,0.47,2.51,0.57,3.94,0.36,0.47,0.6,42.0
81,81,Kiru Singh Sahota,70.0,125,73.0, Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
82,82,Herman Renting,72.0,215,72.0, Switch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,83,Muin Gafurov,67.0,135,68.0, Southpaw,2.98,0.41,2.95,0.48,2.4,0.26,0.62,0.0,28.0
84,84,Brad Tavares,73.0,185,74.0, Orthodox,3.38,0.43,3.15,0.55,0.78,0.26,0.81,0.0,36.0
85,85,Hitomi Akano,64.0,135,, Southpaw,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,49.0
86,86,Chris Daukaus,75.0,205,76.0, Orthodox,6.05,0.5,4.64,0.55,0.0,0.0,1.0,0.0,34.0
87,87,Liliya Shakirova,64.0,125,65.0, Orthodox,2.7,0.3,2.58,0.74,0.0,0.0,0.0,0.0,32.0
88,88,Michelle Maher,,145,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,89,Cory Walmsley,72.0,205,72.0, Orthodox,0.79,1.0,1.18,0.5,0.0,0.0,0.0,0.0,
90,90,Jesus Pinedo,70.0,155,74.0, Southpaw,3.23,0.38,4.37,0.52,2.5,1.0,1.0,0.0,27.0
91,91,Gabe Green,70.0,155,73.0, Switch,6.28,0.45,6.95,0.47,0.83,0.5,0.53,0.3,31.0
92,92,Lyman Good,72.0,170,74.0, Orthodox,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0,38.0
93,93,Adam Wieczorek,77.0,250,81.0, Orthodox,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4,32.0
94,94,John Polakowski,70.0,155,69.0, Orthodox,2.6,0.26,2.83,0.5,0.0,0.0,0.87,0.7,42.0
95,95,Da Woon Jung,76.0,205,78.0, Orthodox,3.49,0.43,3.89,0.51,1.9,0.5,0.77,0.2,30.0
96,96,Josh Quinlan,72.0,170,72.0, Orthodox,3.59,0.42,6.91,0.49,0.51,0.11,0.6,0.0,31.0
97,97,Vitor Belfort,72.0,185,74.0, Southpaw,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6,47.0
98,98,Sean Salmon,70.0,185,70.0, Southpaw,1.49,0.33,2.03,0.65,4.06,0.5,0.0,0.0,46.0
99,99,Justin Robbins,65.0,135,65.0,,0.67,0.37,3.2,0.47,0.0,0.0,0.0,0.0,43.0
100,100,Nora Cornolle,67.0,135,67.0, Orthodox,3.29,0.59,1.26,0.56,0.0,0.0,0.5,0.0,34.0
101,101,Rolando Dy,68.0,145,69.0, Orthodox,3.04,0.37,4.47,0.52,0.3,0.2,0.68,0.0,33.0
