Event,Favorite,Underdog,Winner,odds_delta,delta_height,delta_reach,delta_SLPM,delta_Str Acc,delta_SApm,delta_Str. Def,delta_TD Avg,delta_TD Acc,delta_TD Def,delta_Sub Avg,delta_age
UFC 159 - Jones vs. Sonnen,Jon Jones,Chael Sonnen,Favorite,-7.87,3,11,1.21,0.13,1.12,0.02,-1.88,-0.14,0.28,0.09,-11
UFC 159 - Jones vs. Sonnen,Michael Bisping,Alan Belcher,Favorite,-2.93,-1,0,1.63,-0.03,-0.4,0.06,0.61,0.17,0.07,-0.61,5
UFC 159 - Jones vs. Sonnen,Roy Nelson,Cheick Kongo,Favorite,-1.77,-4,-9,-1.15,-0.21,3.51,-0.09,-1.16,-0.3,0.13,-0.1,-2
UFC 159 - Jones vs. Sonnen,Phil Davis,Vinny Magalhaes,Favorite,-2.19,-1,4,0.71,0.1,-2.64,0.03,1.44,-0.06,0.05,-0.21,0
UFC 159 - Jones vs. Sonnen,Jim Miller,Pat Healy,Underdog,-2,-4,-1,0.42,0.06,0.93,0.06,-1.55,0.07,-0.09,0.59,0
UFC 159 - Jones vs. Sonnen,Rustam Khabilov,Yancy Medeiros,Favorite,-1.86,-2,-2,-2.39,-0.03,-3.51,0.18,3.62,-0.1,-0.12,-0.6,1
UFC 159 - Jones vs. Sonnen,Ovince St Preux,Gian Villante,Favorite,-0.71,0,4,-1.35,0.02,-2.15,-0.09,0.65,0.12,-0.16,0.5,3
UFC 159 - Jones vs. Sonnen,Sara McMann,Sheila Gaff,Favorite,-4.62,1,2,0.65,-0.04,-0.98,0.18,4.38,0.65,0.3,0.5,9
UFC 159 - Jones vs. Sonnen,Johnny Bedford,Bryan Caraway,Underdog,-0.24,2,3,2,0.15,-1.86,0.08,-0.74,0.37,-0.19,-0.8,2
UFC 159 - Jones vs. Sonnen,Leonard Garcia,Cody McKenzie,Underdog,-1.4,-2,-4,1.03,-0.11,2.29,-0.16,-2.21,0.01,0.27,-2,8
UFC 159 - Jones vs. Sonnen,Steven Siler,Kurt Holobaugh,Favorite,-0.11,0,0,-1.17,-0.03,-1.12,0.06,-0.24,-0.15,0.09,0.7,0
