,Event Title,Fighter A,Fighter B,Winner,Odds A,Odds B,Underdog,Favorite
0,UFC 159 - Jones vs. Sonnen,Jon Jones,Chael Sonnen,Jon Jones,1.13,9,Chael Sonnen,Jon Jones
1,UFC 159 - Jones vs. Sonnen,Michael Bisping,Alan Belcher,Michael Bisping,1.57,4.5,Alan Belcher,Michael Bisping
2,UFC 159 - Jones vs. Sonnen,Roy Nelson,Cheick Kongo,Roy Nelson,1.43,3.2,Cheick Kongo,Roy Nelson
3,UFC 159 - Jones vs. Sonnen,Phil Davis,Vinny Magalhaes,Phil Davis,1.36,3.55,Vinny Magalhaes,Phil Davis
4,UFC 159 - Jones vs. Sonnen,Pat Healy,Jim Miller,Pat Healy,3.4,1.4,Pat Healy,Jim Miller
5,UFC 159 - Jones vs. Sonnen,Rustam Khabilov,Yancy Medeiros,Rustam Khabilov,1.54,3.4,Yancy Medeiros,Rustam Khabilov
6,UFC 159 - Jones vs. Sonnen,Ovince St Preux,Gian Villante,Ovince St Preux,1.69,2.4,Gian Villante,Ovince St Preux
7,UFC 159 - Jones vs. Sonnen,Sara McMann,Sheila Gaff,Sara McMann,1.18,5.8,Sheila Gaff,Sara McMann
8,UFC 159 - Jones vs. Sonnen,Bryan Caraway,Johnny Bedford,Bryan Caraway,2.15,1.91,Bryan Caraway,Johnny Bedford
9,UFC 159 - Jones vs. Sonnen,Cody McKenzie,Leonard Garcia,Cody McKenzie,2.93,1.53,Cody McKenzie,Leonard Garcia
10,UFC 159 - Jones vs. Sonnen,Steven Siler,Kurt Holobaugh,Steven Siler,1.95,2.06,Kurt Holobaugh,Steven Siler
11,UFC on FX 8 - Belfort vs. Rockhold,Vitor Belfort,Luke Rockhold,Vitor Belfort,1.95,2.04,Luke Rockhold,Vitor Belfort
12,UFC on FX 8 - Belfort vs. Rockhold,Ronaldo Souza,Chris Camozzi,Ronaldo Souza,1.17,6,Chris Camozzi,Ronaldo Souza
13,UFC on FX 8 - Belfort vs. Rockhold,Rafael dos Anjos,Evan Dunham,Rafael dos Anjos,1.5,2.91,Evan Dunham,Rafael dos Anjos
14,UFC on FX 8 - Belfort vs. Rockhold,Rafael Natal,Joao Zeferino,Rafael Natal,1.36,3.7,Joao Zeferino,Rafael Natal
15,UFC on FX 8 - Belfort vs. Rockhold,Nik Lentz,Hacran Dias,Nik Lentz,1.99,2.1,Hacran Dias,Nik Lentz
16,UFC on FX 8 - Belfort vs. Rockhold,Francisco Trinaldo,Mike Rio,Francisco Trinaldo,1.33,3.9,Mike Rio,Francisco Trinaldo
17,UFC on FX 8 - Belfort vs. Rockhold,Gleison Tibau,John Cholish,Gleison Tibau,1.42,3.35,John Cholish,Gleison Tibau
18,UFC on FX 8 - Belfort vs. Rockhold,Paulo Thiago,Michel Prazeres,Paulo Thiago,1.57,2.76,Michel Prazeres,Paulo Thiago
19,UFC on FX 8 - Belfort vs. Rockhold,Yuri Alcantara,Iliarde Santos,Yuri Alcantara,1.2,5.5,Iliarde Santos,Yuri Alcantara
20,UFC on FX 8 - Belfort vs. Rockhold,Fabio Maldonado,Roger Hollett,Fabio Maldonado,1.38,3.45,Roger Hollett,Fabio Maldonado
21,UFC on FX 8 - Belfort vs. Rockhold,John Lineker,Azamat Gashimov,John Lineker,2.1,1.87,John Lineker,Azamat Gashimov
22,UFC on FX 8 - Belfort vs. Rockhold,Jussier Formiga,Chris Cariaso,Jussier Formiga,1.65,2.55,Chris Cariaso,Jussier Formiga
23,UFC on FX 8 - Belfort vs. Rockhold,Lucas Martins,Jeremy Larsen,Lucas Martins,1.33,3.85,Jeremy Larsen,Lucas Martins
24,UFC 160 - Velasquez vs. Bigfoot 2,Cain Velasquez,Antonio Silva,Cain Velasquez,1.16,6.75,Antonio Silva,Cain Velasquez
25,UFC 160 - Velasquez vs. Bigfoot 2,Junior dos Santos,Mark Hunt,Junior dos Santos,1.25,5.25,Mark Hunt,Junior dos Santos
26,UFC 160 - Velasquez vs. Bigfoot 2,Glover Teixeira,James Te Huna,Glover Teixeira,1.33,4.75,James Te Huna,Glover Teixeira
27,UFC 160 - Velasquez vs. Bigfoot 2,T.J. Grant,Gray Maynard,T.J. Grant,2.65,1.74,T.J. Grant,Gray Maynard
28,UFC 160 - Velasquez vs. Bigfoot 2,Donald Cerrone,K.J. Noons,Donald Cerrone,1.37,3.48,K.J. Noons,Donald Cerrone
29,UFC 160 - Velasquez vs. Bigfoot 2,Mike Pyle,Rick Story,Mike Pyle,2.5,1.67,Mike Pyle,Rick Story
30,UFC 160 - Velasquez vs. Bigfoot 2,Dennis Bermudez,Max Holloway,Dennis Bermudez,1.4,3.65,Max Holloway,Dennis Bermudez
31,UFC 160 - Velasquez vs. Bigfoot 2,Robert Whittaker,Colton Smith,Robert Whittaker,2.75,1.71,Robert Whittaker,Colton Smith
32,UFC 160 - Velasquez vs. Bigfoot 2,Khabib Nurmagomedov,Abel Trujillo,Khabib Nurmagomedov,1.4,3.75,Abel Trujillo,Khabib Nurmagomedov
33,UFC 160 - Velasquez vs. Bigfoot 2,Stephen Thompson,Nah-Shon Burrell,Stephen Thompson,1.63,2.65,Nah-Shon Burrell,Stephen Thompson
34,UFC 160 - Velasquez vs. Bigfoot 2,George Roop,Brian Bowles,George Roop,3.66,1.36,George Roop,Brian Bowles
35,UFC 160 - Velasquez vs. Bigfoot 2,Jeremy Stephens,Estevan Payan,Jeremy Stephens,1.6,2.9,Estevan Payan,Jeremy Stephens
36,UFC on Fox 8 - Johnson vs. Moraga,Demetrious Johnson,John Moraga,Demetrious Johnson,1.25,4.75,John Moraga,Demetrious Johnson
